TIME,LAT,LON,SPEED,HEADING
2020-02-03 00:00:00,34.6,127.94,13.6,342.0
2020-02-03 01:00:00,34.78,127.8,13.2,344.0
2020-02-03 02:00:00,34.9,127.7,5.4,281.0
2020-02-03 03:00:00,34.9,127.7,0.0,18.0
2020-02-03 04:00:00,34.9,127.7,0.0,18.0
2020-02-03 05:00:00,34.9,127.75,11.6,132.0
2020-02-03 06:00:00,34.72,127.9,14.2,123.0
2020-02-03 07:00:00,34.56,128.0,15.3,105.0
2020-02-03 08:00:00,34.5,128.4,15.0,104.0
2020-02-03 09:00:00,34.53,128.6,14.8,61.0
2020-02-03 10:00:00,34.7,128.9,13.3,35.0
2020-02-03 11:00:00,34.84,129.0,12.2,50.0
2020-02-03 12:00:00,35.0,129.1,11.7,17.0
2020-02-03 13:00:00,35.1,129.1,0.9,17.0
2020-02-03 14:00:00,35.1,129.1,0.0,43.0
2020-02-03 15:00:00,35.1,129.1,0.0,217.0
2020-02-03 16:00:00,35.1,129.1,0.0,250.0
2020-02-03 17:00:00,35.1,129.1,0.0,231.0
2020-02-03 18:00:00,35.1,129.1,0.0,47.0
2020-02-03 19:00:00,35.1,129.1,0.0,35.0
2020-02-03 20:00:00,35.1,129.1,0.0,201.0
2020-02-03 21:00:00,35.1,129.1,0.0,26.0
2020-02-03 22:00:00,35.1,129.1,0.0,93.0
2020-02-03 23:00:00,35.1,129.1,0.1,141.0
2020-02-04 00:00:00,35.1,129.1,0.0,69.0
2020-02-04 01:00:00,35.1,129.1,0.0,192.0
2020-02-04 02:00:00,35.1,129.1,3.5,205.0
2020-02-04 03:00:00,34.97,129.2,12.7,123.0
2020-02-04 04:00:00,34.84,129.5,12.9,127.0
2020-02-04 05:00:00,34.72,129.6,13.0,127.0
2020-02-04 06:00:00,34.6,129.9,12.8,127.0
2020-02-04 07:00:00,34.47,130.1,13.2,128.0
2020-02-04 08:00:00,34.4,130.2,13.4,127.0
2020-02-04 09:00:00,34.4,130.2,13.414,130.0
2020-02-04 10:00:00,34.4,130.2,13.42,133.1
2020-02-04 11:00:00,34.4,130.2,13.44,136.1
2020-02-04 12:00:00,34.4,130.2,13.45,139.2
2020-02-04 13:00:00,34.4,130.2,13.47,142.2
2020-02-04 14:00:00,34.4,130.2,13.48,145.2
2020-02-04 15:00:00,34.4,130.2,13.49,148.4
2020-02-04 16:00:00,34.4,130.2,13.51,151.4
2020-02-04 17:00:00,34.4,130.2,13.516,154.5
2020-02-04 18:00:00,34.44,130.2,13.53,157.5
2020-02-04 19:00:00,34.44,130.2,13.55,160.5
2020-02-04 20:00:00,34.44,130.2,13.56,163.6
2020-02-04 21:00:00,34.44,130.2,13.57,166.6
2020-02-04 22:00:00,34.44,130.2,13.586,169.8
2020-02-04 23:00:00,34.44,130.2,13.6,172.8
2020-02-05 00:00:00,34.44,130.2,13.61,175.8
